VIN (1-10),Model Year,Base MSRP,vehicle_id
KNDC3DLC6P,2023,0.0,358
5YJSA1E64P,2023,0.0,269
YV4H600N4P,2023,0.0,359
7SAYGDED7R,2024,0.0,360
7SAYGDED7R,2024,0.0,378
KM8KRDAF4P,2023,0.0,361
5YJ3E1EB1P,2023,0.0,78
7SAYGDEE4P,2023,0.0,47
7SAYGDEE4P,2023,0.0,80
5YJ3E1EA3P,2023,0.0,86
5YJ3E1EA3P,2023,0.0,355
5YJ3E1EA3P,2023,0.0,362
7SAYGAEE1R,2024,0.0,235
7SAYGAEE1R,2024,0.0,600
YV4ED3GM3P,2023,0.0,363
5YJ3E1EA9P,2023,0.0,174
5YJ3E1EA9P,2023,0.0,364
1C4JJXP69P,2023,0.0,59
1C4JJXP69P,2023,0.0,100
7SAYGDEFXR,2024,0.0,312
7SAYGDEFXR,2024,0.0,365
WBY43AW0XR,2024,0.0,366
7SAYGDEE6P,2023,0.0,142
7SAYGDEE6P,2023,0.0,182
